brand,category_code,event_type
artel,appliances.environment.water_heater,view
artel,appliances.iron,cart
artel,appliances.iron,purchase
artel,appliances.iron,view
artel,appliances.kitchen.blender,view
artel,appliances.kitchen.hood,cart
artel,appliances.kitchen.hood,purchase
artel,appliances.kitchen.hood,view
artel,appliances.kitchen.juicer,view
artel,appliances.kitchen.kettle,cart
artel,appliances.kitchen.kettle,purchase
artel,appliances.kitchen.kettle,view
artel,appliances.kitchen.meat_grinder,cart
artel,appliances.kitchen.meat_grinder,purchase
artel,appliances.kitchen.meat_grinder,view
artel,appliances.kitchen.oven,cart
artel,appliances.kitchen.oven,purchase
artel,appliances.kitchen.oven,view
artel,appliances.kitchen.refrigerators,cart
artel,appliances.kitchen.refrigerators,purchase
artel,appliances.kitchen.refrigerators,view
artel,appliances.kitchen.washer,cart
artel,appliances.kitchen.washer,purchase
artel,appliances.kitchen.washer,view
artel,appliances.personal.scales,view
artel,electronics.video.tv,cart
artel,electronics.video.tv,purchase
artel,electronics.video.tv,view
arturia,electronics.audio.music_tools.piano,view
artway,auto.accessories.videoregister,cart
artway,auto.accessories.videoregister,purchase
artway,auto.accessories.videoregister,view
arua,furniture.bedroom.blanket,cart
arua,furniture.bedroom.blanket,purchase
arua,furniture.bedroom.blanket,view
arua,furniture.bedroom.pillow,cart
arua,furniture.bedroom.pillow,view
ascoli,appliances.kitchen.refrigerators,view
asel,appliances.kitchen.oven,cart
asel,appliances.kitchen.oven,purchase
asel,appliances.kitchen.oven,view
ashleyfurniture,furniture.kitchen.chair,view
asics,apparel.shoes.keds,cart
asics,apparel.shoes.keds,purchase
asics,apparel.shoes.keds,view
askona,furniture.bedroom.bed,cart
askona,furniture.bedroom.bed,view
askona,furniture.bedroom.blanket,cart
askona,furniture.bedroom.blanket,purchase
askona,furniture.bedroom.blanket,view
askona,furniture.bedroom.pillow,cart
askona,furniture.bedroom.pillow,purchase
askona,furniture.bedroom.pillow,view
askona,furniture.living_room.sofa,view
asm,furniture.living_room.sofa,cart
asm,furniture.living_room.sofa,purchase
asm,furniture.living_room.sofa,view
asrock,computers.components.motherboard,cart
asrock,computers.components.motherboard,purchase
asrock,computers.components.motherboard,view
asrock,computers.components.videocards,cart
asrock,computers.components.videocards,purchase
asrock,computers.components.videocards,view
asrock,computers.desktop,view
aston,appliances.kitchen.kettle,cart
aston,appliances.kitchen.kettle,purchase
aston,appliances.kitchen.kettle,view
astrid,furniture.bedroom.bed,view
asus,accessories.bag,cart
asus,accessories.bag,purchase
asus,accessories.bag,view
asus,computers.components.cooler,cart
asus,computers.components.cooler,purchase
asus,computers.components.cooler,view
asus,computers.components.motherboard,cart
asus,computers.components.motherboard,purchase
asus,computers.components.motherboard,view
asus,computers.components.power_supply,view
asus,computers.components.videocards,cart
asus,computers.components.videocards,purchase
asus,computers.components.videocards,view
asus,computers.desktop,cart
asus,computers.desktop,purchase
asus,computers.desktop,view
asus,computers.notebook,cart
asus,computers.notebook,purchase
asus,computers.notebook,view
asus,computers.peripherals.keyboard,cart
asus,computers.peripherals.keyboard,purchase
asus,computers.peripherals.keyboard,view
asus,computers.peripherals.monitor,cart
asus,computers.peripherals.monitor,purchase
asus,computers.peripherals.monitor,view
asus,computers.peripherals.mouse,cart
asus,computers.peripherals.mouse,purchase
asus,computers.peripherals.mouse,view
asus,electronics.audio.headphone,cart
asus,electronics.audio.headphone,purchase
asus,electronics.audio.headphone,view
asus,electronics.audio.microphone,view
asus,electronics.smartphone,cart
asus,electronics.smartphone,purchase
asus,electronics.smartphone,view
atlant,appliances.kitchen.refrigerators,cart
atlant,appliances.kitchen.refrigerators,purchase
atlant,appliances.kitchen.refrigerators,view
atlant,appliances.kitchen.washer,cart
atlant,appliances.kitchen.washer,purchase
atlant,appliances.kitchen.washer,view
atlant,sport.bicycle,view
atlant,sport.snowboard,cart
atlant,sport.snowboard,purchase
atlant,sport.snowboard,view
atlantic,appliances.environment.air_conditioner,cart
atlantic,appliances.environment.air_conditioner,purchase
atlantic,appliances.environment.air_conditioner,view
atlantic,appliances.environment.water_heater,cart
atlantic,appliances.environment.water_heater,purchase
atlantic,appliances.environment.water_heater,view
atlantic,appliances.kitchen.refrigerators,cart
atlantic,appliances.kitchen.refrigerators,purchase
atlantic,appliances.kitchen.refrigerators,view
atlantic,appliances.kitchen.washer,cart
atlantic,appliances.kitchen.washer,purchase
atlantic,appliances.kitchen.washer,view
atomic,apparel.shoes,cart
atomic,apparel.shoes,purchase
atomic,apparel.shoes,view
atomic,sport.ski,cart
atomic,sport.ski,view
atrai,apparel.shoes,cart
atrai,apparel.shoes,purchase
atrai,apparel.shoes,view
attribute,appliances.ironing_board,view
audac,electronics.audio.acoustic,cart
audac,electronics.audio.acoustic,purchase
audac,electronics.audio.acoustic,view
audac,electronics.audio.microphone,view
audio-technica,electronics.audio.headphone,cart
audio-technica,electronics.audio.headphone,purchase
audio-technica,electronics.audio.headphone,view
audio-technica,electronics.audio.microphone,cart
audio-technica,electronics.audio.microphone,purchase
audio-technica,electronics.audio.microphone,view
audiotop,electronics.audio.subwoofer,cart
audiotop,electronics.audio.subwoofer,view
audison,electronics.audio.subwoofer,cart
audison,electronics.audio.subwoofer,purchase
audison,electronics.audio.subwoofer,view
aula,electronics.audio.headphone,cart
aula,electronics.audio.headphone,view
auldey,kids.toys,view
aurora,auto.accessories.compressor,view
aurora,construction.tools.welding,cart
aurora,construction.tools.welding,purchase
aurora,construction.tools.welding,view
aurora,kids.toys,cart
aurora,kids.toys,purchase
aurora,kids.toys,view
author,sport.bicycle,cart
author,sport.bicycle,purchase
author,sport.bicycle,view
autoline,auto.accessories.player,cart
autoline,auto.accessories.player,purchase
autoline,auto.accessories.player,view
autoprofi,auto.accessories.compressor,cart
autoprofi,auto.accessories.compressor,purchase
autoprofi,auto.accessories.compressor,view
autovirazh,appliances.environment.vacuum,cart
autovirazh,appliances.environment.vacuum,purchase
autovirazh,appliances.environment.vacuum,view
autovirazh,auto.accessories.compressor,view
aux,appliances.environment.air_conditioner,view
ava,appliances.environment.fan,view
ava,appliances.kitchen.microwave,cart
ava,appliances.kitchen.microwave,purchase
ava,appliances.kitchen.microwave,view
ava,appliances.kitchen.refrigerators,view
ava,appliances.personal.scales,view
ava,electronics.audio.music_tools.piano,view
ava,electronics.video.tv,view
avalon,computers.desktop,cart
avalon,computers.desktop,purchase
avalon,computers.desktop,view
avatar,electronics.audio.subwoofer,cart
avatar,electronics.audio.subwoofer,purchase
avatar,electronics.audio.subwoofer,view
avel,auto.accessories.videoregister,cart
avel,auto.accessories.videoregister,purchase
avel,auto.accessories.videoregister,view
avermedia,electronics.audio.headphone,view
